[10:00:53] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=36
[10:01:07] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=36
[10:01:12] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=36
[10:01:16] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=36
[10:01:28] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=36
[10:01:51] | 200 | ::1 | 0789 | POST: /Production/ProductionProcessess/Save
[10:01:51] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetList
[10:01:54] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:02:13] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:02:15] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:15:16] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:15:26] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:15:31] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=36
[10:15:34] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=35
[10:15:40] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=35
[10:15:44] | 200 | ::1 | 0789 | GET: /Production/ProductionProcessess/GetDetails?id=37
[10:23:29] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:23:39] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:23:42] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:23:43] | 200 | ::1 | 0789 | GET: /
[10:23:45] | 200 | ::1 | 0789 | GET: /Home/GetMilestoneSeniors
[10:23:45] | 200 | ::1 | 0789 | GET: /Home/GetTopSeniors
[10:23:46] | 200 | ::1 | 0789 | GET: /production
[10:23:48] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:23:50] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:23:50] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:23:50] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:23:50] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:24:00] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:24:01] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:24:01] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:24:01] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:24:01] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:24:42] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:24:42] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:24:42] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:24:43] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:24:43] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:25:00] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:25:00] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:25:00] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:25:00] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:25:00] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:25:05] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:25:06] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:25:06] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:25:06] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:25:06] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:25:53] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:25:53] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:25:53] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:25:53] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:25:53] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:25:58] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:25:58] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:25:58] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:25:58] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:25:58] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:26:01] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:26:02] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:26:02] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:26:02] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:26:02] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:26:18] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:26:18] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:26:18] | 404 | ::1 | 0789 | GET: /admin/vendors/mdi/css/materialdesignicons.css.map
[10:26:19] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:26:19] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:26:36] | 200 | ::1 | 0789 | GET: /production/productionProcessess
[10:26:37] | 404 | ::1 | 0789 | GET: /.well-known/appspecific/com.chrome.devtools.json
[10:26:37] | 404 | ::1 | 0789 | GET: /admin/vendors/progressbar.js/progressbar.min.js.map
[10:26:37] | 404 | ::1 | 0789 | GET: /admin/vendors/js/perfect-scrollbar.min.js.map
[10:26:40] | 200 | ::1 | 0789 | GET: /production/productionProcessess
